"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Aravind B.; Nayak S.N.; Choudhary R.S.; Gandhadmath S.S.; Prasad P.V.V.; Pandey M.K.; Bhat R.S.; Puppala N.; Latha P.; Sudhakar P.; Varshney R.K.","Aravind, B. (57364709200); Nayak, Spurthi N. (26533131500); Choudhary, Rakeshkumar S. (56315685700); Gandhadmath, Spoorti S. (57868366400); Prasad, P.V.V. (7202701841); Pandey, Manish K. (35113734100); Bhat, Ramesh S. (24823913700); Puppala, Naveen (6602498909); Latha, Putta (22955935300); Sudhakar, Palagiri (22956329800); Varshney, Rajeev K. (7006648166)","57364709200; 26533131500; 56315685700; 57868366400; 7202701841; 35113734100; 24823913700; 6602498909; 22955935300; 22956329800; 7006648166","Integration of Genomics Approaches in Abiotic Stress Tolerance in Groundnut (Arachis hypogaea L.): An Overview","2022","Genomic Designing for Abiotic Stress Resistant Oilseed Crops","","","","149","197","48","4","10.1007/978-3-030-90044-1_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137987653&doi=10.1007%2f978-3-030-90044-1_4&partnerID=40&md5=08a64ac621084096f3e5f0535e348e06","In recent years, the effect of climate change on agriculture is perceived with irregular rainfall trends, temperature patterns and disease/pest outbreaks. Productivity of many crop species is impaired by abiotic stress such as heat, salinity, drought, cold and heavy metal stresses. In groundnut, the impact of high temperatures and drought on crop growth and development have been extensively studied. In order to meet global food and nutritional welfare, there is a need to consider the physiological responses and molecular pathways underlying abiotic stress tolerance. Several traits like water use efficiency (WUE), chlorophyll content, photosynthetic rate, stomatal conductance, root traits and yield-related parameters were found to be affected by abiotic stresses in groundnut. The availability of germplasm resources and genomic technologies help in exploring the tolerant genotypes conferring abiotic stress tolerance. The genomic regions associated with the tolerance related traits were studied using genetic linkage and association-based approaches using different types of molecular markers in groundnut. Latest advances in sequencing and artificial intelligence-based gene prediction have improved the process of identifying possible genes that impart abiotic stress tolerance. The transcriptomics, proteomics, metabolomics and genetic engineering approaches were utilized for imparting drought tolerance. Though genomics studies related to heat, salinity, cold tolerance are very limited in groundnut, there is high potential to utilize available resources and multi-omics technologies to improve groundnut for abiotic stress tolerance. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.","Book chapter","Final","","Scopus","2-s2.0-85137987653"
"Palve S.N.; Nemade P.D.; Ghude S.D.","Palve, S.N. (57190948157); Nemade, P.D. (23768624300); Ghude, S.D. (6507979420)","57190948157; 23768624300; 6507979420","Effect of Aerosols on Ocean Parameters in India by Using Satellite Data","2018","Procedia Computer Science","132","","","1857","1865","8","2","10.1016/j.procs.2018.05.130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049116123&doi=10.1016%2fj.procs.2018.05.130&partnerID=40&md5=b1bd11af6ad52847a6974222833734a3","The rapid industrial and economic development in India leads to high level of pollution in environment. Due to increased level of aerosols oceans are warming. This paper highlights on aerosols effect on sea surface wind and sea surface temperature by using remote sensing data. The windplays important role in Aerosol Optical Depth (AOD) and radiative forcing and is analyzed using National Centers for Environmental Prediction (NCEP) monthly wind data. The radiative forcing observed is much higher and up to 60% of total AOD during summer monsoon. SeaSurface Temperature (SST) is another important parameter in ocean atmosphere system and a key variable in coupling the atmosphere and ocean. The SST has changed during the change of atmospheric pattern and it plays an important role in aerosols mechanism. The study observed that during summer monsoon SST over the South Eastern Tropical Indian Ocean (SETIO) much higher than Western Tropical Indian Ocean (WTIO) and it plays important role in aerosols mechanism. © 2018 The Authors. Published by Elsevier Ltd.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85049116123"
"John V.M.; Quattrone M.; Abrão P.C.R.A.; Cardoso F.A.","John, Vanderley M. (7102963656); Quattrone, Marco (57213883971); Abrão, Pedro C.R.A. (57208882310); Cardoso, Fábio A. (7005873544)","7102963656; 57213883971; 57208882310; 7005873544","Rethinking cement standards: Opportunities for a better future","2019","Cement and Concrete Research","124","","105832","","","","52","10.1016/j.cemconres.2019.105832","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070679525&doi=10.1016%2fj.cemconres.2019.105832&partnerID=40&md5=ff493f470a44d87c71933b58298c1592","This paper discusses possible changes in cement standards to cope with megatrends: climate change and industry 4.0. Most standards are prescriptive, defining cements by composition of SCMs, hence the number of types increase, and composition limits widen. Cements are classified by compressive strength of fixed water/cement mortars. This pragmatic approach ignores physical effects, that results in variable mixing water demand. It hinders the development of cements with low water demand, products of optimized particle engineering and dispersants, which allows formulate cements with lower clinker fraction. Also, most standard tests are difficult to automate to generate large datasets crucial to train artificial intelligence. Performance-based standards are an alternative, but simple and progressive approach is recommended to ease transition. Cement types should not be solely defined by composition but rather classified by performance characteristics including durability and environmental. Combined water fraction, cwf, may be a good parameter to replace strength class. © 2019 Elsevier Ltd","Review","Final","","Scopus","2-s2.0-85070679525"
"Fang W.; Sha Y.; Sheng V.S.","Fang, Wei (55729485300); Sha, Yu (57654093800); Sheng, Victor S. (14049181900)","55729485300; 57654093800; 14049181900","Survey on the Application of Artificial Intelligence in ENSO Forecasting","2022","Mathematics","10","20","3793","","","","6","10.3390/math10203793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140777212&doi=10.3390%2fmath10203793&partnerID=40&md5=723515bfd83c04b236d737c5cdeb094c","Climate disasters such as floods and droughts often bring heavy losses to human life, national economy, and public safety. El Niño/Southern Oscillation (ENSO) is one of the most important inter-annual climate signals in the tropics and has a global impact on atmospheric circulation and precipitation. To address the impact of climate change, accurate ENSO forecasts can help prevent related climate disasters. Traditional prediction methods mainly include statistical methods and dynamic methods. However, due to the variability and diversity of the temporal and spatial evolution of ENSO, traditional methods still have great uncertainty in predicting ENSO. In recent years, with the rapid development of artificial intelligence technology, it has gradually penetrated into all aspects of people’s lives, and the climate field has also benefited. For example, deep learning methods in artificial intelligence can automatically learn and train from a large amount of sample data, obtain excellent feature representation, and effectively improve the performance of various learning tasks. It is widely used in computer vision, natural language processing, and other fields. In 2019, Ham et al. used a convolutional neural network (CNN) model in ENSO forecasting 18 months in advance, and the winter ENSO forecasting skill could reach 0.64, far exceeding the dynamic model with a forecasting skill of 0.5. The research results were regarded as the pioneering work of deep learning in the field of weather forecasting. This paper introduces the traditional ENSO forecasting methods and focuses on summarizing the various latest artificial intelligence methods and their forecasting effects for ENSO forecasting, so as to provide useful reference for future research by researchers. © 2022 by the authors.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140777212"
"Lv H.; Shi B.; Li N.; Kang R.","Lv, Hao (57999786800); Shi, Beibei (57194410202); Li, Nan (58773014700); Kang, Rong (57194420558)","57999786800; 57194410202; 58773014700; 57194420558","Intelligent Manufacturing and Carbon Emissions Reduction: Evidence from the Use of Industrial Robots in China","2022","International Journal of Environmental Research and Public Health","19","23","15538","","","","11","10.3390/ijerph192315538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143724117&doi=10.3390%2fijerph192315538&partnerID=40&md5=75c6139bae57fa5ab4dfd1a26d2bf95b","Driven by the information technology revolution, using artificial intelligence to promote intelligent manufacturing while achieving carbon emissions reduction is increasingly the focus of international attention. Given this, based on the fact that China’s industrial manufacturing is more intelligent, this paper uses industrial sector data and robot data from 2000 to 2017 to examine the impact of intelligent manufacturing on industrial carbon dioxide emissions and to discuss its internal mechanism. The research found that intelligent manufacturing significantly inhibits carbon dioxide emissions in the industrial sectors. The emission reduction effect is more obvious in industries with higher carbon emissions and intelligence. The mechanism test shows that intelligent manufacturing mainly achieves industrial emission reduction by reducing fossil energy consumption in the production process and improving energy use efficiency. The research findings of this paper provide favorable evidence for using new technologies, such as artificial intelligence, to achieve carbon emissions reduction, and validate the importance of intelligent manufacturing in tackling climate change in the future. It provides an essential reference for developing countries to use artificial intelligence for their carbon emissions reduction goals. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85143724117"
"Mohammadian H.D.; Wittberg V.; Castro M.; Bolandian G.","Mohammadian, Hamid Doost (57209346779); Wittberg, Volker (57220177850); Castro, Manuel (26643374700); Bolandian, Gholamhossein (57220185884)","57209346779; 57220177850; 26643374700; 57220185884","The 5thWave and i-Sustainability plus Theories as Solutions for SocioEdu Consequences of Covid-19","2020","Proceedings of 2020 IEEE Learning With MOOCS, LWMOOCS 2020","","","9234360","118","123","5","10","10.1109/LWMOOCS50143.2020.9234360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097138348&doi=10.1109%2fLWMOOCS50143.2020.9234360&partnerID=40&md5=f5d723c6067e40fa2cad77ebab5ad468","The Covid-19 pandemic is changing our society on diverse dimensions (not only on an economic or social level). Before the 1970s, various businesses and economics could affect and improve technologies, and humans' life. Since we reached the 70ies, and with the beginning of the 3rd wave or the post-industrial era, the new modern technologies such as Information Technology (IT), Internet of Things (IoT), Internet of Business (IoB), Internet of Energy (IoE), Internet of Manufacturing (IoM), Internet of Health (IoH), the emerging digitization, and innovative smartness in addition, issues such as know-how, do-how, Artificial Intelligence (AI), and others could influence businesses, the economy, urban infrastructures, societies, social impacts and even human life. Wars, sanctions, sciences, technologies, IT, IoT, and smartness work together and have impacts on each other's, businesses, economy, and human life. Fundamentally, during humans' history inventions and innovations have been created through restrictions and challenges. Wars, sanctions, low sustainability, risks of contagion, recessions, climate pollution, environmental change, biodiversity collapse, urban sprawl, growing urbanizations, lack of infrastructure, gentrification, economic instabilities, and recently health crises are introduced as main restrictions. Wars and welfare integrate with human's life desirably or undesirably and make innovation. Improvement through such innovative digital technologies are so admirable because most of them have changed the world. Sustainability has an important role for societies and urbans to improve their quality of livability and life. The world academic economy has changed from an academic SocioEdu economy to a data and innovative academic SocioEdu, ecosystem and economy, leading to the concept of the ""Internet of Business-Education"". with many popular IoT applications involved (i.e. wearables, smart city, smart society, smart healthcare, smart welfare, smart SMEs, smart retail, smart supply chain). This pandemic throws a spotlight on the interdependencies among business, nature, society, economy, and education. It may be tempting right now, when it is hard to see beyond the next few weeks, to dismiss the 17 Sustainable Development Goals (SDGs) as a distraction. But they have been described as a ""crowd-sourced purchase order from the future""precisely because they offer a tremendous business opportunity. Based on SDGs all developed and developing countries in a global partnership have to go with CSR strategies and Hybrid Businesses for improving social cohesion and welfare, health, education, inequality, blue-green environmental sustainability, and economic efficiency. In this article we will discuss how the 5th Wave/Tomorrow Age and i-Sustainability Plus theories could help us for a readiness to forecast, prevent and face to the SocioEdu Consequences of Covid-19.  © 2020 IEEE.","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85097138348"
"Aleshkin N.A.; Aleshkin A.P.; Petrushevskaya A.A.","Aleshkin, N.A. (57212868056); Aleshkin, A.P. (59112289200); Petrushevskaya, A.A. (57201777142)","57212868056; 59112289200; 57201777142","Adaptive hybrid climate control in the manufacture of microelectronics","2019","Journal of Physics: Conference Series","1399","4","044090","","","","0","10.1088/1742-6596/1399/4/044090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077442889&doi=10.1088%2f1742-6596%2f1399%2f4%2f044090&partnerID=40&md5=3a0495333c53f5fb2acab674996445f5","The article discusses the procedure for hybrid control of microclimate parameters in a clean room intended for the production of electronics, using a combination of technologies for recurrent estimation and fuzzy regulation. On the basis of the developed procedure, a smooth assessment of the current values of the controlled parameters and compensation control adequate to disturbing influences are provided. The developed technology is designed to provide an increase in the quality indicators of overcoming transient processes, and, consequently, to improve the efficiency of controlling the climate dynamic system during the implementation of the production process for manufacturing electronics with increased requirements for its operational characteristics. Modern information systems are characterized by the rapid development of the capabilities of the used hardware. At the same time, in order to achieve maximum results, the use of artificial intelligence technologies is inevitable, the most effective implementation of which requires adequate consideration of all available information about the controlled production process. In the formulation under consideration, the complexity of the problem is determined by the need to meet mutually conflicting requirements while ensuring specified values of climatic parameters. The specificity of the control problem is determined by the fact that a change (restoration) of the values of one controlled parameter should not lead to a loss of the set values of other climatic parameters. To achieve the described target effect, it is proposed to supplement the procedure of recurrent climate monitoring with a fuzzy logic mechanism when changing values of climatic parameters. © Published under licence by IOP Publishing Ltd.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85077442889"
"Leong W.K.; Lai S.H.","Leong, W.K. (57194835066); Lai, S.H. (36102664300)","57194835066; 36102664300","Application of Water Evaluation and Planning Model for Integrated Water Resources Management: Case Study of Langat River Basin, Malaysia","2017","IOP Conference Series: Materials Science and Engineering","210","1","012024","","","","12","10.1088/1757-899X/210/1/012024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023189288&doi=10.1088%2f1757-899X%2f210%2f1%2f012024&partnerID=40&md5=5ee8f394bfe73df015b61479148ce5bb","Due to the effects of climate change and the increasing demand on water, sustainable development in term of water resources management has become a major challenge. In this context, the application of simulation models is useful to duel with the uncertainty and complexity of water system by providing stakeholders with the best solution. This paper outlines an integrated management planning network is developed based on Water Evaluation and Planning (WEAP) to evaluate current and future water management system of Langat River Basin, Malaysia under various scenarios. The WEAP model is known as an integrated decision support system investigate major stresses on demand and supply in terms of water availability in catchment scale. In fact, WEAP is applicable to simulate complex systems including various sectors within a single catchment or transboundary river system. To construct the model, by taking account of the Langat catchment and the corresponding demand points, we defined the hydrological model into 10 sub-hydrological catchments and 17 demand points included the export of treated water to the major cities outside the catchment. The model is calibrated and verified by several quantitative statistics (coefficient of determination, R2; Nash-Sutcliffe efficiency, NSE and Percent bias, PBIAS). The trend of supply and demand in the catchment is evaluated under three scenarios to 2050, 1: Population growth rate, 2: Demand side management (DSM) and 3: Combination of DSM and reduce non-revenue water (NRW). Results show that by reducing NRW and proper DSM, unmet demand able to reduce significantly. © Published under licence by IOP Publishing Ltd.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85023189288"
"Perazzoli S.; Michelon W.; da Silva M.L.B.","Perazzoli, Simone (56376487100); Michelon, William (55963701800); da Silva, Marcio Luis Busi (8076061000)","56376487100; 55963701800; 8076061000","Biotechnology advancements in CO2capture and conversion by microalgae-based systems","2022","3rd Generation Biofuels: Disruptive Technologies to Enable Commercial Production","","","","385","414","29","1","10.1016/B978-0-323-90971-6.00038-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138066428&doi=10.1016%2fB978-0-323-90971-6.00038-3&partnerID=40&md5=b67f6b206eaddfb96fc5b36fbf460ca0","In recent years, the world has been experiencing significant and accelerated effects of climate changes, which are believed to be associated to some extent with greenhouse gas emissions. Consequently, there is an increasing trend for minimizing or replacing traditional fossil fuel-based economies with a more sustainable, carbon-negative (or neutral) alternative. Microalgae-based systems have been considered for decades as a clean technology for carbon mitigation where the sequestered CO2 is converted to valuable biomass products with several biotechnology applications. This chapter reviews the advancements made in bioreactor design to offer superior CO2 diffusion and mass transfer as well as the use of synthetic biology for the development of newer engineered strains with much improved capacity to assimilate CO2. With the rising level of technology complexity involved in these modern systems, the use of artificial intelligence is likely to play major roles in decision-making helping us to rapidly foster systems operating anomalies with real-time corrective actions. This chapter concludes with an overall view of current commercial opportunities for the produced microalgae biomass. © 2022 Elsevier Inc. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-85138066428"
"Abd-Elmabod S.K.; Muñoz-Rojas M.; Jordán A.; Anaya-Romero M.; Phillips J.D.; Laurence J.; Zhang Z.; Pereira P.; Fleskens L.; van der Ploeg M.; de la Rosa D.","Abd-Elmabod, Sameh K. (36781947600); Muñoz-Rojas, Miriam (37104728500); Jordán, Antonio (24171149800); Anaya-Romero, Mariá (25652996400); Phillips, Jonathan D. (35598725900); Laurence, Jones (57216842295); Zhang, Zhenhua (55721861400); Pereira, Paulo (56277962200); Fleskens, Luuk (24554139000); van der Ploeg, Martine (18635801500); de la Rosa, Diego (56344004600)","36781947600; 37104728500; 24171149800; 25652996400; 35598725900; 57216842295; 55721861400; 56277962200; 24554139000; 18635801500; 56344004600","Climate change impacts on agricultural suitability and yield reduction in a Mediterranean region","2020","Geoderma","374","","114453","","","","75","10.1016/j.geoderma.2020.114453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084939527&doi=10.1016%2fj.geoderma.2020.114453&partnerID=40&md5=177b2d542f1a3d947f8cfa3ad958d16a","Climate change impacts are a serious threat to food provisioning, security and the economy. Thus, assessing agricultural suitability and yield reduction under climate change is crucial for sustainable agricultural production. In this study, we used two sub-models of the agro-ecological decision support system MicroLEIS (Terraza and Cervatana) to evaluate the impacts of climate change on land capability and yield reduction or wheat and sunflower as major rainfed crops in different Mediterranean soil types (in Andalucia, Southern Spain). The Terraza sub-model provides an experimental prediction for the bioclimate deficiency and yield reduction, while the Cervatana sub-model predicts the general land use suitability for specific agricultural uses. Sixty-two districts in Southern Spain were modeled and mapped using soil data and the A1B climate scenario (balanced scenario) for three 30-year periods ending in 2040, 2070 and 2100, respectively. Our results showed that the majority of agricultural soils were suitable for wheat production, and less for sunflowers, especially under projected climate change scenarios. Extreme impacts of climate change were observed in the soil types Typic Xerofluvents and Calcic Haploxerepts, where the land capability was reduced from Good and Moderate classes to the Marginal class. This was especially observed in sunflower crops by 2100. Yield reduction of sunflower was much higher than the reduction for wheat, especially under the projected climate periods, where the results for 2100 showed the severest effect on crop yields with about 95% of the sunflower area showing yield reductions. This high variability of the evaluation results demonstrates the importance of using soil factors, climate and crop information in conjunction in decision-making regarding the formulation of site-specific soil use and management strategies. © 2020 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85084939527"
"Subeesh A.; Mehta C.R.","Subeesh, A. (57207879906); Mehta, C.R. (7006229019)","57207879906; 7006229019","Automation and digitization of agriculture using artificial intelligence and internet of things","2021","Artificial Intelligence in Agriculture","5","","","278","291","13","99","10.1016/j.aiia.2021.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120995341&doi=10.1016%2fj.aiia.2021.11.004&partnerID=40&md5=3ccfd1aaf26ea1f75c2818e8a73cbe8a","The growing population and effect of climate change have put a huge responsibility on the agriculture sector to increase food-grain production and productivity. In most of the countries where the expansion of cropland is merely impossible, agriculture automation has become the only option and is the need of the hour. Internet of things and Artificial intelligence have already started capitalizing across all the industries including agriculture. Advancement in these digital technologies has made revolutionary changes in agriculture by providing smart systems that can monitor, control, and visualize various farm operations in real-time and with comparable intelligence of human experts. The potential applications of IoT and AI in the development of smart farm machinery, irrigation systems, weed and pest control, fertilizer application, greenhouse cultivation, storage structures, drones for plant protection, crop health monitoring, etc. are discussed in the paper. The main objective of the paper is to provide an overview of recent research in the area of digital technology-driven agriculture and identification of the most prominent applications in the field of agriculture engineering using artificial intelligence and internet of things. The research work done in the areas during the last 10 years has been reviewed from the scientific databases including PubMed, Web of Science, and Scopus. It has been observed that the digitization of agriculture using AI and IoT has matured from their nascent conceptual stage and reached the execution phase. The technical details of artificial intelligence, IoT, and challenges related to the adoption of these digital technologies are also discussed. This will help in understanding how digital technologies can be integrated into agriculture practices and pave the way for the implementation of AI and IoT-based solutions in the farms. © 2021 The Authors","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85120995341"
"Jesus G.; Aguiar M.L.; Gaspar P.D.","Jesus, Guilherme (57981625600); Aguiar, Martim L. (57216150780); Gaspar, Pedro D. (57419570900)","57981625600; 57216150780; 57419570900","Computational Tool to Support the Decision in the Selection of Alternative and/or Sustainable Refrigerants","2022","Energies","15","22","8497","","","","1","10.3390/en15228497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142636496&doi=10.3390%2fen15228497&partnerID=40&md5=e4f867cb376b7bed9b550f1c88f0d574","There have been consequences regarding the increment of the greenhouse effect, such as the rise in the planet’s global temperature, and climate change. Refrigerants have an important contribution to the aforementioned environmental impact. In particular, hydrofluorocarbons (HFCs) contribute to the destruction of the ozone layer and the increase of the greenhouse effect. Protocols, international agreements, and legislation were developed to slow down the emission of greenhouse gases. Prohibition and definition of deadlines for the gradual elimination of various refrigerants have been proposed to replace them with others that are environmentally sustainable. Soon, the refrigeration sector will have to replace some refrigerants with others that are alternative and/or sustainable with minimal or zero environmental impact. A computational tool to support decision-making regarding the selection of alternative and/or sustainable refrigerant to replace the old one is developed to be used by refrigeration companies, manufacturers, and installers. A suggestion of refrigerants with reduced environmental impact is provided, ensuring similar thermal performance and energy efficiency, considering the safety level and renovation cost of the installation and refrigerant itself. This decision support system (DSS) uses an objective function that includes the technical specifications and properties of alternative and sustainable refrigerants. The computational tool is applied in the agri-food sector in three case studies. The results show not only the consistency of the computational tool, but also its flexibility, objectivity, and simplicity. Its use allows companies to choose refrigerants with reduced environmental impact, reduced or zero ozone depletion potential and global warming impact, thus contributing to environmental sustainability. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142636496"
"Cervelli E.; Scotto di Perta E.; Pindozzi S.","Cervelli, Elena (56730894500); Scotto di Perta, Ester (56486021200); Pindozzi, Stefania (36661483800)","56730894500; 56486021200; 36661483800","Energy crops in marginal areas: Scenario-based assessment through ecosystem services, as support to sustainable development","2020","Ecological Indicators","113","","106180","","","","23","10.1016/j.ecolind.2020.106180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079386512&doi=10.1016%2fj.ecolind.2020.106180&partnerID=40&md5=c2f6f46eae256800d84446d83b0aba02","Starting from the identification of marginal areas, this work presents a possible physical–mathematical approach as a support to landscape planning, based on the pragmatic determination of the predictable environmental effects connected to land use changes (LUC) and related to objective and quantitative ecological indicators for environmental impact assessment. “Fringe areas”, which are more suitable to change in a medium-short time frame, were determined through a spatial multicriteria decision analysis (S-MCDA) process. Three land use changes scenarios were identified and analysed, namely: the current situation, energy crop cultivation in marginal lands, and the possible abandonment of lands such as these. Energy crop cultivation in marginal lands is widely considered to be a useful opportunity for farmers, against the progressive risk of under-utilization or abandonment; nevertheless, the large areas needed can cause important environmental side-effects. In order to assess the possible variations in environmental components in the ex-ante planning phase, scenarios were assessed in terms of habitat and biodiversity ecosystems services (using both monetary and indexes approach), focusing also on possible environmental fragmentation analysis by means of landscape metrics, which are simple measures used to deepen landscape configuration and structure. The S-MCDA process allowed about 10% of the study area with less favourable environmental conditions to be defined, where land use change is desirable in a medium-short time frame. For the energy crops scenario, the ecosystem services (ESs) approach highlights positive repercussions in terms of habitat quality and biodiversity value. Similar trends are highlighted by different ESs assessment methods adopted (monetary and indexes), confirming themselves. Also, landscape pattern analysis confirmed positive habitat connectivity trends: the delineation of fringe areas has preserved, in energy crops scenario, natural and semi-natural classes, reducing the risk of disturbance with respect to the biodiversity and habitat. This condition assumes that adopted S-MCDA method can contribute positively and significantly to the definition of LUC scenarios and land management. In conclusion, marginal lands can become an opportunity to improve socio-economic conditions and to enhance land image, while respecting the environment. LUC scenarios building, and their assessment by means of ecological indicators become a dynamic and structured tool in the land use planning /management process to support decision maker choices and to re-calibrate interventions, with the aim of contributing to sustainable policies of land management (ecological corridors, compensation and / or mitigation measures, etc.), emphasizing land sustainable management benefits (such as climate change adaptation or disaster risk reduction). © 2020 Elsevier Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85079386512"
"Ferreira O.; Viavattene C.; Jiménez J.A.; Bolle A.; das Neves L.; Plomaritis T.A.; McCall R.; van Dongeren A.R.","Ferreira, O. (7004914786); Viavattene, C. (55232605700); Jiménez, J.A. (7402489690); Bolle, A. (35772551400); das Neves, L. (15847687600); Plomaritis, T.A. (22836553200); McCall, R. (35105546100); van Dongeren, A.R. (55957938100)","7004914786; 55232605700; 7402489690; 35772551400; 15847687600; 22836553200; 35105546100; 55957938100","Storm-induced risk assessment: Evaluation of two tools at the regional and hotspot scale","2018","Coastal Engineering","134","","","241","253","12","35","10.1016/j.coastaleng.2017.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033459945&doi=10.1016%2fj.coastaleng.2017.10.005&partnerID=40&md5=38cefa56127ebcb865cff3180b52ac4b","Coastal zones are under increasing risk as coastal hazards increase due to climate change and the consequences of these also increase due to on-going economic development. To effectively deal with this increased risk requires the development of validated tools to identify coastal areas of higher risk and to evaluate the effectiveness of disaster risk reduction (DRR) measures. This paper analyses the performance in the application of two tools which have been developed in the RISC-KIT project: the regional Coastal Risk Assessment Framework (CRAF) and a hotspot early warning system coupled with a decision support system (EWS/DSS). The paper discusses the main achievements of the tools as well as improvements needed to support their further use by the coastal community. The CRAF, a tool to identify and rank hotspots of coastal risk at the regional scale, provides useful results for coastal managers and stakeholders. A change over time of the hotspots location and ranking can be analysed as a function of changes on coastal occupation or climate change. This tool is highly dependent on the quality of available information and a major constraint to its application is the relatively poor availability and accessibility of high-quality data, particularly in respect to social-economic indicators, and to lesser extent the physical environment. The EWS/DSS can be used as a warning system to predict potential impacts or to test the effectiveness of risk reduction measures at a given hotspot. This tool provides high resolution results, but needs validation against impact data, which are still scarce. The EWS/DSS tool can be improved by enhancing the vulnerability relationships and detailing the receptors in each area (increasing the detail, but also model simulations). The developed EWS/DSS can be adapted and extended to include a greater range of conditions (including climate change), receptors, hazards and impacts, enhancing disaster preparedness for effective risk reduction for further events or morphological conditions. Despite these concerns, the tools assessed in this paper proved to be valuable instruments for coastal management and risk reduction that can be adopted in a wide range of coastal areas. © 2017 Elsevier B.V.","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85033459945"
"Shaukat N.; Khan B.","Shaukat, N. (56901089700); Khan, B. (56654844100)","56901089700; 56654844100","E-Mobility: Transportation Sector in Transition","2022","Handbook of Climate Change Mitigation and Adaptation: Third Edition","4","","","2423","2498","75","0","10.1007/978-3-030-72579-2_130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160685762&doi=10.1007%2f978-3-030-72579-2_130&partnerID=40&md5=ea6130ffd75d14775e523003d7c8343e","The fossil fuel-based transportation sector is not only the fastest-growing sector but also an unsustainable one and contributes critically toward emissions of anthropogenic carbon dioxide along with other harmful pollutants such as “Carbon Black.” This emission of “Carbon Black” is short-lived in comparison to carbon dioxide; however, it impacts climate severely because of its strong immediate heating effects. Furthermore, the conventional transportation system also emits other particulate matter into the atmosphere that causes air pollution and associated health issues. Thus, the aforementioned negative consequences of fossil-based transport system make it central to the energy and climate challenge. Therefore, the most practical and sustainable solution for effective mitigation of climate change and energy security concerns is the electrification of the transportation sector – a paradigm shift in the conventional mobility sector. As the electric power system is already in transition and experiencing its own paradigm shift – Smart(er) Grid – “Transportation Electrification” is thus the timely development for introducing a paradigm shift in the mobility sector. The vision of electrified mobility is to lower the environmental footprint of the transportation sector, which further demands the utilization of more renewable energy resource-based generation mix in the electricity grid – “Greener Grid.” Thus, in this chapter, we explain the potential of transportation electrification for reducing the harmful climatic emissions and the nexus of energy and economy with electric mobility. The contrasting narrative of direct and indirect electrification with structural changes is further discussed with implications on cross-sectoral balance. We then provide an overview of the V2X horizon which includes vehicle-to-grid, vehicle-to-home, and building technology concepts. Moreover, we also investigate the concept of “smart vehicles” with the incorporation of “Artificial Intelligence” and some key enabling yet transdisciplinary technologies. Lastly, we present innovative alternative solutions for fueling the vehicles and the main trends, challenges, and future research directions in electric mobility transformation. © Springer Nature Switzerland AG 2022. All rights are reserved.","Book chapter","Final","","Scopus","2-s2.0-85160685762"
